arcade_addr,rom_addr,role,window,operation_type,execution_class,evidence,safe_to_nop_after_replacement,safe_to_nop_reason,replacement_target,source_origin,patch_status,priority,confidence,notes
0x000100,0x000300,Callsite feeding window path: call/jump to 0x00016A,C,control/state,init_only,startup/common init path -> outside_copied_ranges -> callsite 0x000100 -> 0x00016A.,NO,Callsite controls execution of downstream window writer/staging path.,VDP scroll write,other,unpatched,not_needed,Medium,Auto-added callsite from disassembly: `bsrw 0x16a`
0x000104,0x000304,Callsite feeding window path: call/jump to 0x000264,none,control/state,init_only,startup/common init path -> outside_copied_ranges -> callsite 0x000104 -> 0x000264.,NO,Callsite controls execution of downstream window writer/staging path.,palette load,other,unpatched,not_needed,Medium,Auto-added callsite from disassembly: `bsrw 0x264`
0x000114,0x000314,Callsite feeding window path: call/jump to 0x00052A,both,control/state,init_only,startup/common init path -> outside_copied_ranges -> callsite 0x000114 -> 0x00052A.,YES,Callsite controls execution of downstream window writer/staging path.,none,other,unpatched,not_needed,Medium,Auto-added callsite from disassembly: `bsrw 0x52a`
0x000118,0x000318,Callsite feeding window path: call/jump to 0x0002CA,C,control/state,init_only,startup/common init path -> outside_copied_ranges -> callsite 0x000118 -> 0x0002CA.,NO,Callsite controls execution of downstream window writer/staging path.,VDP nametable write,other,unpatched,not_needed,Medium,Auto-added callsite from disassembly: `bsrw 0x2ca`
0x00016A,0x00036A,PC080SN scroll register access (lea),C,scroll,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x00016A (PC080SN scroll register access (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP scroll write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc20002,%a0` in range `outside_copied_ranges`."
0x000170,0x000370,PC080SN scroll register access (lea),C,scroll,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x000170 (PC080SN scroll register access (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP scroll write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc40002,%a1` in range `outside_copied_ranges`."
0x000264,0x000464,Palette path instruction (lea) referencing CLCS shadow range,none,palette,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x000264 (Palette path instruction (lea) referencing CLCS shadow range).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,palette load,palette buffer,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0x200000,%a0` in range `outside_copied_ranges`."
0x0002CA,0x0004CA,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x0002CA (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08218,%a0` in range `outside_copied_ranges`."
0x0002D0,0x0004D0,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x0002D0 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08318,%a1` in range `outside_copied_ranges`."
0x00030E,0x00050E,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x00030E (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08838,%a0` in range `outside_copied_ranges`."
0x000314,0x000514,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x000314 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08938,%a1` in range `outside_copied_ranges`."
0x00031A,0x00051A,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x00031A (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08a38,%a2` in range `outside_copied_ranges`."
0x000320,0x000520,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x000320 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08b38,%a3` in range `outside_copied_ranges`."
0x000392,0x000592,Callsite feeding window path: call/jump to 0x03BB48,C,control/state,init_only,startup/common init path -> outside_copied_ranges -> callsite 0x000392 -> 0x03BB48.,NO,Callsite controls execution of downstream window writer/staging path.,VDP nametable write,other,unpatched,not_needed,Medium,Auto-added callsite from disassembly: `jsr 0x3bb48`
0x0003AC,0x0005AC,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x0003AC (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08748,%a2` in range `outside_copied_ranges`."
0x0003B6,0x0005B6,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x0003B6 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08770,%a2` in range `outside_copied_ranges`."
0x0003C0,0x0005C0,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x0003C0 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08770,%a2` in range `outside_copied_ranges`."
0x0003CA,0x0005CA,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x0003CA (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08948,%a2` in range `outside_copied_ranges`."
0x0003D4,0x0005D4,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x0003D4 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08984,%a2` in range `outside_copied_ranges`."
0x0003E0,0x0005E0,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x0003E0 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08540,%a2` in range `outside_copied_ranges`."
0x0003EA,0x0005EA,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x0003EA (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08574,%a2` in range `outside_copied_ranges`."
0x0003FC,0x0005FC,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x0003FC (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08e40,%a2` in range `outside_copied_ranges`."
0x000406,0x000606,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x000406 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08f40,%a2` in range `outside_copied_ranges`."
0x000410,0x000610,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x000410 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc09040,%a2` in range `outside_copied_ranges`."
0x00041A,0x00061A,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x00041A (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc09140,%a2` in range `outside_copied_ranges`."
0x000424,0x000624,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x000424 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08b40,%a2` in range `outside_copied_ranges`."
0x00042E,0x00062E,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x00042E (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08c40,%a2` in range `outside_copied_ranges`."
0x000440,0x000640,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x000440 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08e7c,%a2` in range `outside_copied_ranges`."
0x00044A,0x00064A,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x00044A (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08f7c,%a2` in range `outside_copied_ranges`."
0x000454,0x000654,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x000454 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc0907c,%a2` in range `outside_copied_ranges`."
0x00045E,0x00065E,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x00045E (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc0917c,%a2` in range `outside_copied_ranges`."
0x000468,0x000668,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x000468 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08b7c,%a2` in range `outside_copied_ranges`."
0x000472,0x000672,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x000472 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08c7c,%a2` in range `outside_copied_ranges`."
0x000484,0x000684,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x000484 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc09450,%a2` in range `outside_copied_ranges`."
0x000496,0x000696,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x000496 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc09550,%a2` in range `outside_copied_ranges`."
0x0004AA,0x0006AA,"Secondary text writer: MOVE.W D2,(A2)+ writes tile word to C-window",C,direct write,init_only,"Inside secondary text writer 0x4A2, called from startup init path before 0x03A008 frontend entry.",YES,Already NOPped; startup text rendering not needed for Genesis front-end.,VDP nametable write,other,already_patched,not_needed,High,NOP'd. Part of early boot text renderer.
0x0004AC,0x0006AC,"Secondary text writer: MOVE.W D3,(A2)+ writes tile word to C-window (attr word)",C,direct write,init_only,Paired with 0x0004AA in secondary text writer 0x4A2.,YES,Already NOPped.,VDP nametable write,other,already_patched,not_needed,High,NOP'd.
0x000508,0x000708,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> outside_copied_ranges -> instruction 0x000508 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc0c000,%a2` in range `outside_copied_ranges`."
0x000514,0x000714,Boot text fill loop: MOVE.W #0 into C-window text region via A1,C,direct write,init_only,"Startup init sequence at 0x000514, before 0x03A008 frontend entry. Not in frontend tick loop.",YES,"Already NOPped; writes to C-window text region (page data), Genesis equivalent is VDP nametable which is initialised separately.",VDP nametable write,other,already_patched,not_needed,High,"NOP'd in spec. In boot text fill loop, fires once at startup before frontend tick."
0x000518,0x000718,Boot text fill loop: MOVE.W #0x20 (space) into C-window text region via A1,C,direct write,init_only,Paired with 0x000514 in the same boot text fill loop.,YES,"Already NOPped; space-fill of text area, not relevant to Genesis VDP nametable.",VDP nametable write,other,already_patched,not_needed,High,NOP'd in spec.
0x00052A,0x00072A,Startup hardware probe: scans C-window and D-window address ranges,both,control/state,init_only,Startup probe routine reached before frontend tick; early RTS prevents it from executing. Build 141 applied.,YES,RTS'd; routine performs arcade HW probe which crashes Genesis. Probe is irrelevant on Genesis.,none,other,already_patched,not_needed,High,RTS injection at entry. Build 141.
0x00053A,0x00073A,Palette path instruction (lea) referencing CLCS shadow range,none,palette,init_only,startup/common init path -> startup_hw_probe_052a -> instruction 0x00053A (Palette path instruction (lea) referencing CLCS shadow range).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,palette load,palette buffer,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0x200000,%a0` in range `startup_hw_probe_052a`."
0x00054A,0x00074A,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> startup_hw_probe_052a -> instruction 0x00054A (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc00000,%a0` in range `startup_hw_probe_052a`."
0x000550,0x000750,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> startup_hw_probe_052a -> instruction 0x000550 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc04000,%a1` in range `startup_hw_probe_052a`."
0x00055A,0x00075A,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> startup_hw_probe_052a -> instruction 0x00055A (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc08000,%a0` in range `startup_hw_probe_052a`."
0x000560,0x000760,Window pointer setup (lea),C,pointer init,init_only,startup/common init path -> startup_hw_probe_052a -> instruction 0x000560 (Window pointer setup (lea)).,YES,Direct window/palette behavior is replaced by target hardware path once replacement is complete.,VDP nametable write,other,unpatched,not_needed,Medium,"Auto-added from full disassembly scan: `lea 0xc0c000,%a1` in range `startup_hw_probe_052a`."
