arcade_addr,rom_addr,role,window,operation_type,execution_class,evidence,safe_to_nop_after_replacement,safe_to_nop_reason,replacement_target,source_origin,patch_status,priority,confidence,notes
0x0004AA,0x0006AA,"Secondary text writer: MOVE.W D2,(A2)+ writes tile word to C-window",C,direct write,init_only,"Inside secondary text writer 0x4A2, called from startup init path before 0x03A008 frontend entry.",YES,Already NOPped; startup text rendering not needed for Genesis front-end.,VDP nametable write,other,already_patched,not_needed,High,NOP'd. Part of early boot text renderer.
0x0004AC,0x0006AC,"Secondary text writer: MOVE.W D3,(A2)+ writes tile word to C-window (attr word)",C,direct write,init_only,Paired with 0x0004AA in secondary text writer 0x4A2.,YES,Already NOPped.,VDP nametable write,other,already_patched,not_needed,High,NOP'd.
0x000514,0x000714,Boot text fill loop: MOVE.W #0 into C-window text region via A1,C,direct write,init_only,"Startup init sequence at 0x000514, before 0x03A008 frontend entry. Not in frontend tick loop.",YES,"Already NOPped; writes to C-window text region (page data), Genesis equivalent is VDP nametable which is initialised separately.",VDP nametable write,other,already_patched,not_needed,High,"NOP'd in spec. In boot text fill loop, fires once at startup before frontend tick."
0x000518,0x000718,Boot text fill loop: MOVE.W #0x20 (space) into C-window text region via A1,C,direct write,init_only,Paired with 0x000514 in the same boot text fill loop.,YES,"Already NOPped; space-fill of text area, not relevant to Genesis VDP nametable.",VDP nametable write,other,already_patched,not_needed,High,NOP'd in spec.
0x00052A,0x00072A,Startup hardware probe: scans C-window and D-window address ranges,both,control/state,init_only,Startup probe routine reached before frontend tick; early RTS prevents it from executing. Build 141 applied.,YES,RTS'd; routine performs arcade HW probe which crashes Genesis. Probe is irrelevant on Genesis.,none,other,already_patched,not_needed,High,RTS injection at entry. Build 141.
0x0005C0,0x0007C0,Boot callsite: JSR 0x3BB48 (table-driven C-window text writer) from boot sequence,C,direct write,init_only,Callsite in startup init. Calls text writer 0x3BB48 which writes to C-window tile region.,YES,"Already NOPped. Even if called, internal writes in 0x3BB48 are NOPped. Boot text irrelevant.",VDP nametable write,other,already_patched,not_needed,High,NOP'd.
0x00068C,0x00088C,"Text/status writer: MOVE.W D1,(A0)+ where A0 is C-window text base 0xC0975C",C,direct write,init_only,Startup text writer. A0 = 0xC0975C (C-window text area). Fires before frontend tick.,YES,Already NOPped.,VDP nametable write,other,already_patched,not_needed,High,NOP'd.
0x03A008,0x03A208,Frontend tick entry point: main arcade title/attract state machine,none,control/state,active_every_frame_frontend,genesistan_run_original_frontend_tick() → JMP 0x03A208. This IS the frontend entry. All rendering paths trace from here.,NO,This is the entry point for the entire frontend tick.,none,other,unpatched,not_needed,High,"Trampoline entry. A5 = genesistan_arcade_workram_words on entry. Not a C/D window routine itself but is the root of all frontend rendering calls. [Build 142 repair: entry/dispatch control path, not a direct rendering replacement target.]"
0x03A350,0x03A550,Direct C-window write: MOVE.W #0x0032 to 0xC08A52 (sprite frame counter register),C,direct write,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frontend state machine → callsite at 0x03A350 (conditional on state).,YES,Already NOPped. Sprite frame counter in C-window region. No Genesis equivalent needed for title screen.,none,other,already_patched,not_needed,High,"NOP'd. 0xC08A52 is in PC080SN internal register area, not the nametable. No direct Genesis mapping needed. [Build 142 repair: patched-out runtime path; retained for traceability, not a live rendering replacement target.]"
0x03A552,0x03A752,"Read probe bypass: CMPI.B #48, 0xC09EA3 + BNE (read from C-window crashes BlastEm)",C,control/state,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frontend state machine → A5@(0) state check → 0x03A552.,YES,Bypassed via forced BRA. Read from C-window address crashes Genesis (unmapped HW).,none,register mirror,already_patched,not_needed,High,"Opcode replaced to BRA past the CMP. 0xC09EA3 is PC080SN register, not nametable data. [Build 142 repair: patched-out runtime path; retained for traceability, not a live rendering replacement target.]"
